1611995210,21.27978208
,
1611995211,21.85024186
,
1611995212,25.93331731
,
1611995213,21.73895809
,
1611995214,26.09270988
,
1611995216,18.03537429
,
1611995217,17.78734967
,
1611995218,21.84540417
,
1611995219,17.57308117
,
1611995220,24.67885811
,
1611995221,20.55004059
,
1611995222,25.60925128
,
1611995223,24.96590264
,
1611995224,20.99202614
,
1611995225,22.13227428
,
1611995226,18.45823404
,
1611995227,18.69277071
,
1611995228,22.1545152
,
1611995229,18.45877316
,
1611995230,21.37898649
,
1611995231,17.73118216
,
1611995232,21.9722973
,
1611995233,21.17514456
,
1611995234,22.86834025
,
1611995235,18.70373686
,
1611995237,23.72332086
,
1611995238,24.10856549
,
1611995239,17.17494895
